Time	Open	High	Low	Close	Volume
2024.10.17 17:30	1.08198	1.08279	1.08131	1.08276	2785
2024.10.17 18:00	1.08277	1.08376	1.08236	1.08361	2112
2024.10.17 18:30	1.08361	1.08398	1.08349	1.08355	1824
2024.10.17 19:00	1.08357	1.08359	1.08238	1.08242	1262
2024.10.17 19:30	1.08243	1.08251	1.08213	1.08237	948
2024.10.17 20:00	1.08243	1.08264	1.08219	1.08219	705
2024.10.17 20:30	1.08219	1.08271	1.082	1.08245	602
2024.10.17 21:00	1.08246	1.08266	1.08235	1.08262	931
2024.10.17 21:30	1.08262	1.0831	1.08238	1.08239	794
2024.10.17 22:00	1.08241	1.08267	1.08224	1.08258	893
2024.10.17 22:30	1.08259	1.08275	1.0825	1.08269	716
2024.10.17 23:00	1.08268	1.0828	1.08258	1.08273	328
2024.10.17 23:30	1.08276	1.08301	1.08273	1.08301	437
2024.10.18 00:00	1.0827	1.08298	1.08231	1.08297	37
2024.10.18 00:30	1.08297	1.0830899999999999	1.08297	1.08301	112
2024.10.18 01:00	1.08306	1.08322	1.08299	1.08302	307
2024.10.18 01:30	1.08303	1.08306	1.0828	1.08281	171
2024.10.18 02:00	1.0828	1.08283	1.08261	1.0826500000000001	261
2024.10.18 02:30	1.08266	1.08291	1.08243	1.08281	312
2024.10.18 03:00	1.08281	1.08304	1.08267	1.08271	831
2024.10.18 03:30	1.0827	1.08313	1.08264	1.08279	970
2024.10.18 04:00	1.08279	1.08315	1.0826500000000001	1.08305	823
2024.10.18 04:30	1.08307	1.08353	1.08299	1.0834	950
2024.10.18 05:00	1.08341	1.08358	1.08323	1.08335	723
2024.10.18 05:30	1.08336	1.08386	1.08335	1.08379	756
2024.10.18 06:00	1.08376	1.08386	1.0836	1.08373	657
2024.10.18 06:30	1.08372	1.08381	1.0836	1.08376	437
2024.10.18 07:00	1.08377	1.0838700000000001	1.08372	1.08385	405
2024.10.18 07:30	1.08386	1.08396	1.0838	1.08394	539
2024.10.18 08:00	1.08395	1.08409	1.08374	1.08388	538
2024.10.18 08:30	1.08386	1.0843099999999999	1.08385	1.08424	692
2024.10.18 09:00	1.08423	1.08448	1.08371	1.08446	1468
2024.10.18 09:30	1.08447	1.08476	1.0841	1.08433	1236
2024.10.18 10:00	1.08433	1.08433	1.0836	1.08368	1434
2024.10.18 10:30	1.08369	1.08428	1.0836	1.084	1351
2024.10.18 11:00	1.08399	1.08457	1.08399	1.08438	1166
2024.10.18 11:30	1.08437	1.0844	1.08336	1.08368	1201
2024.10.18 12:00	1.08369	1.08446	1.08351	1.08354	1306
2024.10.18 12:30	1.08352	1.08433	1.08332	1.08432	1235
2024.10.18 13:00	1.08433	1.08441	1.08371	1.08423	1144
2024.10.18 13:30	1.08423	1.08479	1.08422	1.08441	968
2024.10.18 14:00	1.08442	1.08451	1.08408	1.08438	996
2024.10.18 14:30	1.08438	1.08509	1.08432	1.08472	1375
2024.10.18 15:00	1.08472	1.08499	1.08455	1.08479	1267
2024.10.18 15:30	1.0848	1.0859	1.08478	1.08583	1812
2024.10.18 16:00	1.08584	1.08623	1.08567	1.08597	1468
2024.10.18 16:30	1.08596	1.08612	1.08503	1.08558	1519
2024.10.18 17:00	1.08559	1.08636	1.08554	1.08586	1624
2024.10.18 17:30	1.08586	1.08613	1.0854	1.08561	1574
2024.10.18 18:00	1.08561	1.08591	1.0854	1.08587	1522
2024.10.18 18:30	1.08587	1.08592	1.08521	1.08525	1046
2024.10.18 19:00	1.08524	1.08625	1.08519	1.08622	1054
2024.10.18 19:30	1.08624	1.08672	1.086	1.08657	859
2024.10.18 20:00	1.08657	1.08657	1.08609	1.08613	736
2024.10.18 20:30	1.08612	1.08616	1.0858	1.08609	969
